service_id,date,exception_type
1.1.H743,20200619,1
1.1.H902,20200620,1
1.1.H902,20200621,1
1.1.H743,20200622,1
1.1.H744,20200623,1
1.1.H902,20200624,1
1.1.H743,20200625,1
1.1.H744,20200626,1
1.1.H801,20200627,1
1.1.H621,20200628,1
1.1.H781,20200629,1
1.1.H781,20200630,1
1.1.H925,20200701,1
1.1.H925,20200702,1
1.1.H930,20200703,1
1.1.H927,20200704,1
1.1.H621,20200705,1
1.1.H925,20200706,1
1.1.H925,20200707,1
1.1.H925,20200708,1
1.1.H925,20200709,1
1.1.H930,20200710,1
1.1.H927,20200711,1
1.1.H621,20200712,1
1.1.H925,20200713,1
1.1.H925,20200714,1
1.1.H925,20200715,1
1.1.H925,20200716,1
1.1.H930,20200717,1
1.1.H927,20200718,1
1.1.H621,20200719,1
1.1.H925,20200720,1
1.1.H925,20200721,1
1.1.H925,20200722,1
1.1.H925,20200723,1
1.1.H930,20200724,1
1.1.H927,20200725,1
1.1.H621,20200726,1
1.1.H925,20200727,1
1.1.H925,20200728,1
1.1.H925,20200729,1
1.1.H925,20200730,1
1.1.H930,20200731,1
1.1.H927,20200801,1
1.1.H621,20200802,1
1.1.H925,20200803,1
1.1.H925,20200804,1
1.1.H925,20200805,1
1.1.H925,20200806,1
1.1.H930,20200807,1
1.1.H927,20200808,1
1.1.H621,20200809,1
1.1.H925,20200810,1
1.1.H925,20200811,1
1.1.H925,20200812,1
1.1.H925,20200813,1
1.1.H930,20200814,1
1.1.H621,20200815,1
1.1.H621,20200816,1
1.1.H925,20200817,1
1.1.H925,20200818,1
1.1.H925,20200819,1
1.1.H925,20200820,1
1.1.H930,20200821,1
1.1.H927,20200822,1
1.1.H621,20200823,1
1.1.H925,20200824,1
1.1.H925,20200825,1
1.1.H925,20200826,1
1.1.H925,20200827,1
1.1.H930,20200828,1
1.1.H927,20200829,1
1.1.H621,20200830,1
1.1.H925,20200831,1
1.1.H925,20200901,1
1.1.H925,20200902,1
1.1.H925,20200903,1
1.1.H930,20200904,1
1.1.H927,20200905,1
1.1.H621,20200906,1
1.1.H925,20200907,1
1.1.H925,20200908,1
1.1.H925,20200909,1
1.1.H925,20200910,1
1.1.H621,20200911,1
1.1.H927,20200912,1
1.1.H621,20200913,1
1.1.H925,20200914,1
1.1.H925,20200915,1
1.1.H925,20200916,1
1.1.H925,20200917,1
1.1.H930,20200918,1
1.1.H927,20200919,1
1.1.H621,20200920,1
1.1.H925,20200921,1
1.1.H925,20200922,1
1.1.H925,20200923,1
1.1.H621,20200924,1
1.1.H930,20200925,1
1.1.H927,20200926,1
1.1.H621,20200927,1
1.1.H925,20200928,1
1.1.H925,20200929,1
1.1.H925,20200930,1
1.1.H925,20201001,1
1.1.H930,20201002,1
1.1.H927,20201003,1
1.1.H621,20201004,1
1.1.H925,20201005,1
1.1.H925,20201006,1
1.1.H925,20201007,1
1.1.H925,20201008,1
1.1.H930,20201009,1
1.1.H927,20201010,1
1.1.H621,20201011,1
1.1.H621,20201012,1
1.1.H925,20201013,1
1.1.H925,20201014,1
1.1.H925,20201015,1
1.1.H930,20201016,1
1.1.H927,20201017,1
1.1.H621,20201018,1
1.1.H925,20201019,1
1.1.H925,20201020,1
1.1.H925,20201021,1
1.1.H925,20201022,1
1.1.H930,20201023,1
1.1.H927,20201024,1
1.1.H621,20201025,1
1.1.H925,20201026,1
1.1.H925,20201027,1
1.1.H925,20201028,1
1.1.H925,20201029,1
1.1.H930,20201030,1
1.1.H927,20201031,1
1.1.H621,20201101,1
1.1.H925,20201102,1
1.1.H925,20201103,1
1.1.H925,20201104,1
1.1.H925,20201105,1
1.1.H930,20201106,1
1.1.H927,20201107,1
1.1.H621,20201108,1
1.1.H925,20201109,1
1.1.H925,20201110,1
1.1.H925,20201111,1
1.1.H925,20201112,1
1.1.H930,20201113,1
1.1.H927,20201114,1
1.1.H621,20201115,1
1.1.H925,20201116,1
1.1.H925,20201117,1
1.1.H925,20201118,1
1.1.H925,20201119,1
1.1.H930,20201120,1
1.1.H927,20201121,1
1.1.H621,20201122,1
1.1.H925,20201123,1
1.1.H925,20201124,1
1.1.H925,20201125,1
1.1.H925,20201126,1
1.1.H930,20201127,1
1.1.H927,20201128,1
1.1.H621,20201129,1
1.1.H925,20201130,1
1.1.H925,20201201,1
1.1.H925,20201202,1
1.1.H925,20201203,1
1.1.H930,20201204,1
1.1.H927,20201205,1
1.1.H621,20201206,1
1.1.H925,20201207,1
1.1.H621,20201208,1
1.1.H925,20201209,1
1.1.H925,20201210,1
1.1.H930,20201211,1
1.1.H927,20201212,1
1.1.H621,20201213,1
